PLAN ANUAL DE MANTENIMIENTO,Prioridad baja,Prioridad media,Prioridad alta,,,,,,
,Semanales(Preventivo/Detectivo),Mensuales,Tipo de mantenimiento,Trimestrales,Tipo de mantenimiento,Semestruales,Tipo de mantenimiento,Anuales,Tipo de mantenimiento
Sistema de Refrigeracion(A1;1),Inspección visual de fugas de refrigerante y ruidos en el compresor,Limpieza de serpentines del condensador y revisión de presiones de alta/baja,Preventivo,Comprobación de estanqueidad de gas y limpieza del evaporador,Preventivo,Limpieza profunda de y revisión del estado del aceite del compresor,Preventivo,"Vacío del sistema, limpieza química profunda de intercambiadores y recarga de gas refrigerante si se detectó pérdida",Preventivo
PC(A1;2),no requiere,no requiere(Se mantiene en trimestral),-,Soplado de componentes y comprobación de temperaturas ,Preventivo,-,Preventivo,"Intervención física total: Cambio de pasta térmica y pads térmicos, limpieza de polvo con compresor, revisión de capacitores y estado de vida útil de discos duros",Preventivo
Iluminacion(A1;3),no requiere.,Sustitución de luminarias fundidas o con pérdida de intensidad,Correctivo Prog.,Limpieza de pantallas reflectantes para optimizar el flujo lumínico y revisión de balastos/drivers,Preventivo,-,Preventivo,Revisión de toda la red de cableado aéreo y limpieza de estructuras de soporte para evitar corrosión,Preventivo
Heladera(A1;4),no requiere,no requiere,-,"Verificación del termostato, limpieza de drenajes y revisión del estado de los sellos de goma",Preventivo,Limpieza del condensador y verificación del ciclo de desescarche,Preventivo,"Desinfección total, comprobación de la presión del compresor y estado de los componentes electrónicos de control",Preventivo
Variador de Frecuencia(A2;1),Comprobación de ausencia de alarmas en el display y flujo de aire de ventilación,Limpieza de filtros de aire y revisión de registros de fallos en el historial,Preventivo,Reapriete de bornes: Comprobar conexiones de potencia para evitar puntos calientes por vibración,Preventivo,Comprobación del estado de los condensadores (hinchazón) y actualización de firmware si es necesario,Preventivo,Desmontaje y limpieza interna de polvillo fino con limpiador de contactos dieléctrico y aire seco,Preventivo
Motor Trifasico(A2;2),Control de vibración superficial (táctil) y ruidos extraños en rodamientos,Medición de temperatura en rodamientos y carcasa con pirómetro láser,Predictivo,Prueba de aislamiento (Megado): Medir la resistencia del bobinado para predecir fallos a tierra,Predictivo,Alineación Láser: Verificar que el eje del motor y la carga estén perfectamente alineados,Predictivo,Mantenimiento Mayor: Sustitución preventiva de rodamientos y barnizado de bobinados si se detectó baja resistencia en el megado trimestral,Correctivo Prog.
Rotor Bifasico(2;3),no requiere,Engrase de puntos de fricción y comprobación de escobillas (si aplica),Preventivo,Verificación de escobillas (si tiene) y limpieza del colector de delgas,Preventivo,Revisión de la integridad de los devanados y limpieza técnica del estator,Preventivo,Verificación de excentricidad del eje y balanceo dinámico del conjunto rotativo,Predictivo
Torno(A2;4),"Limpieza de virutas, verificación de nivel de aceite y lubricación de guías",Verificación de la tensión de correas de transmisión y ajuste de juegos en carros,Preventivo,Comprobación de la precisión de los carros y revisión de holguras en el husillo patrón,Preventivo,Cambio de lubricantes: Sustitución total del aceite de la caja de velocidades y delantal,Preventivo,"Verificación de nivelación de bancada con nivel de precisión y ajuste de tuercas de husillos para eliminar ""backlash""",Preventivo
Bomba Hidraulica(3;1),Inspección de presión en manómetro y control de fugas en racores,Inspección del estado de mangueras (grietas o sudoración) y nivel de aceite del tanque,Preventivo,Análisis del estado del aceite (viscosidad/contaminación) y limpieza del filtro de succión,Predictivo,Calibración de las válvulas de alivio de presión y revisión de acumuladores,Preventivo,Cambio de fluido: Sustitución total del aceite hidráulico y limpieza manual del fondo del tanque para eliminar lodos,Preventivo
Reductor de Engranajes(A3;2),Inspección visual de niveles de aceite y detección de manchas en el suelo,Control de vibraciones y ruidos internos inusuales (engranajes picados),Predictivo,Comprobación de juegos entre dientes (backlash) y reapriete de pernos de anclaje a la base,Preventivo,Análisis de partículas: Tomar muestra de aceite para buscar residuos metálicos de desgaste,Predictivo,"Sustitución total del lubricante, inspección visual de la huella de contacto en los dientes de los engranajes",Preventivo
Bomba de H2O(A3;3),Comprobación de estanqueidad en el sello mecánico,Verificación de alineación de ejes y estado del acoplamiento elástico,Preventivo,Medición de consumo eléctrico (Amperaje) para detectar sobreesfuerzos mecánicos,Predictivo,Análisis de Vibraciones: Análisis espectral para detectar fatiga en rodamientos antes de que fallen,Predictivo,Desmontaje para inspección del impulsor (erosión/cavitación) y cambio preventivo del sello mecánico,Preventivo
Generador a combustion interna(A3;4),Mantenimiento Detectivo: Arranque de prueba en vacío (5 min) y nivel de batería,Inspección de filtros de aire y comprobación de niveles de aceite/anticongelante,Preventivo,Prueba de transferencia de carga (conectar el generador a la red real de la planta),Detectivo,Limpieza de sedimentos en el tanque de combustible y sustitución de filtros de gasoil/nafta,Preventivo,"Servicio mayor: Cambio de bujías/inyectores, reglaje de válvulas y prueba de banco de carga al 100% por 2 horas",Preventivo
Sensor electronico(A4;1),no requiere,Limpieza de la cara del sensor y verificación de ajuste de soportes (vibración),Preventivo,Prueba de lazo (loop test): Verificar que la señal del sensor llegue correctamente al PLC/Controlador,Preventivo,Recalibración: Ajuste de los valores de referencia contra un patrón certificado,Preventivo,Sustitución de sensores que hayan cumplido su ciclo de vida útil o presenten derivas térmicas constantes,Correctivo Prog.
Gabinete electrico(A4;2),no requiere,Limpieza de filtros de ventilación y soplado de polvo acumulado (aire seco),Preventivo,Inspección termográfica de las protecciones (termomagnéticos y fusibles) para detectar sobrecargas,Predictivo,Revisión de la estanqueidad (juntas) y estado de los ventiladores forzados,Preventivo,"Reorganización de cableado (peinado), revisión de estanqueidad de juntas y sustitución de ventiladores",Preventivo
Sistema de incendios(A4;3),Verificación visual de presión en manómetros de extintores y central de alarmas,"Prueba de funcionamiento de pulsadores, sirenas y luces de emergencia",Detectivo,Comprobación de válvulas de flujo,Detectivo,Inspección técnica externa certificada (comprobación de peso y agente extintor),Detectivo,Retimbrado: Prueba hidrostática de recipientes y certificación legal por ente externo según normativa,Detectivo
Ventilacion(A4;4),Limpieza superficial de rejillas exteriores de aspiración,Comprobación de vibración en aspas y estado de los rodamientos del extractor,Preventivo,Limpieza profunda de álabes y verificación de la alineación de la transmisión por correas,Preventivo,Cambio de correas: Sustitución de correas de transmisión para evitar roturas por fatiga térmica,Preventivo,Equilibrado de álabes y revisión de la estructura de anclaje para evitar fatiga por vibración,Preventivo